class,filename,path,format,size_bytes,width,height,channels,readable
1. Eczema 1677,0_0.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_0.jpg,.jpg,17881,294,222,3,True
1. Eczema 1677,0_1.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_1.jpg,.jpg,21552,294,222,3,True
1. Eczema 1677,0_10.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_10.jpg,.jpg,19110,294,222,3,True
1. Eczema 1677,0_11.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_11.jpg,.jpg,21711,294,222,3,True
1. Eczema 1677,0_12.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_12.jpg,.jpg,23233,294,222,3,True
1. Eczema 1677,0_13.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_13.jpg,.jpg,36777,294,222,3,True
1. Eczema 1677,0_14.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_14.jpg,.jpg,18263,294,222,3,True
1. Eczema 1677,0_15.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_15.jpg,.jpg,20330,294,222,3,True
1. Eczema 1677,0_16.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_16.jpg,.jpg,17392,294,222,3,True
1. Eczema 1677,0_17.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_17.jpg,.jpg,15614,294,222,3,True
1. Eczema 1677,0_18.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_18.jpg,.jpg,19949,294,222,3,True
1. Eczema 1677,0_19.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_19.jpg,.jpg,27138,294,222,3,True
1. Eczema 1677,0_2.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_2.jpg,.jpg,26940,294,222,3,True
1. Eczema 1677,0_20.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_20.jpg,.jpg,21098,294,222,3,True
1. Eczema 1677,0_21.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_21.jpg,.jpg,21912,294,222,3,True
1. Eczema 1677,0_22.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_22.jpg,.jpg,17426,294,222,3,True
1. Eczema 1677,0_23.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_23.jpg,.jpg,25318,294,222,3,True
1. Eczema 1677,0_24.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_24.jpg,.jpg,16370,294,222,3,True
1. Eczema 1677,0_25.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_25.jpg,.jpg,20491,294,222,3,True
1. Eczema 1677,0_26.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_26.jpg,.jpg,24708,294,222,3,True
1. Eczema 1677,0_27.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_27.jpg,.jpg,34966,294,222,3,True
1. Eczema 1677,0_28.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\0_28.jpg,.jpg,23290,294,222,3,True
