removed_path,class,filename,kept_path,quarantined_to,timestamp
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\1_0.jpg,1. Eczema 1677,1_0.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\1_13.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\1. Eczema 1677\1_0.jpg,2026-07-26T22:07:27.445173
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\1_3.jpg,1. Eczema 1677,1_3.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\3_19.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\1. Eczema 1677\1_3.jpg,2026-07-26T22:07:27.449052
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_87.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_87.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\3_19.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_87.jpg,2026-07-26T22:07:27.450126
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_13.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_13.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_0.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_13.jpg,2026-07-26T22:07:27.451501
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_142.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_142.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_1.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_142.jpg,2026-07-26T22:07:27.452392
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_186.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_186.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_10.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_186.jpg,2026-07-26T22:07:27.454334
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_178.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_178.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_11.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_178.jpg,2026-07-26T22:07:27.456518
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_30.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_30.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_12.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_30.jpg,2026-07-26T22:07:27.458716
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_111.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_111.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_13.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_111.jpg,2026-07-26T22:07:27.460522
D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\10. Warts Molluscum and other Viral Infections - 2103\6_14.jpg,10. Warts Molluscum and other Viral Infections - 2103,6_14.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset\1. Eczema 1677\2_14.jpg,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\preprocessing\quarantine\duplicates\10. Warts Molluscum and other Viral Infections - 2103\6_14.jpg,2026-07-26T22:07:27.461859
