split,class,original_path,filename
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001256_2_16.jpg,aug_001256_2_16.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001754_t-eczema-hand-102.jpg,aug_001754_t-eczema-hand-102.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-keratolysis-exfoliativa-16.jpg,v-keratolysis-exfoliativa-16.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001397_t-eczema-subacute-24.jpg,aug_001397_t-eczema-subacute-24.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-stasis-dermatitis-126.jpg,t-stasis-dermatitis-126.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000833_v-eczema-leg-14.jpg,aug_000833_v-eczema-leg-14.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000304_t-eczema-nummular-123.jpg,aug_000304_t-eczema-nummular-123.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000249_t-eczema-nummular-173.jpg,aug_000249_t-eczema-nummular-173.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000170_v-stasis-dermatitis-146.jpg,aug_000170_v-stasis-dermatitis-146.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000589_t-eczema-leg-6.jpg,aug_000589_t-eczema-leg-6.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-hand-101.jpg,t-eczema-hand-101.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001207_t-chapped-fissured-feet-8.jpg,aug_001207_t-chapped-fissured-feet-8.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001046_t-eczema-subacute-33.jpg,aug_001046_t-eczema-subacute-33.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001732_t-neurotic-excoriations-9.jpg,aug_001732_t-neurotic-excoriations-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-nummular-175.jpg,t-eczema-nummular-175.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-nummular-182.jpg,t-eczema-nummular-182.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001123_t-neurotic-excoriations-11.jpg,aug_001123_t-neurotic-excoriations-11.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_003034_1_16.jpg,aug_003034_1_16.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001651_t-prurigo-nodularis-8.jpg,aug_001651_t-prurigo-nodularis-8.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-nummular-133.jpg,v-eczema-nummular-133.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002102_t-eczema-nummular-88.jpg,aug_002102_t-eczema-nummular-88.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-factitial-dermatitis-2.jpg,v-factitial-dermatitis-2.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000038_t-stasis-dermatitis-176.jpg,aug_000038_t-stasis-dermatitis-176.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002853_t-chapped-fissured-feet-9.jpg,aug_002853_t-chapped-fissured-feet-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-neurotic-excoriations-46.jpg,t-neurotic-excoriations-46.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000961_v-neurotic-excoriations-63.jpg,aug_000961_v-neurotic-excoriations-63.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-neurotic-excoriations-60.jpg,t-neurotic-excoriations-60.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002593_t-eczema-impetiginized-10.jpg,aug_002593_t-eczema-impetiginized-10.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000682_t-eczema-subacute-46.jpg,aug_000682_t-eczema-subacute-46.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000706_v-stasis-dermatitis-85.jpg,aug_000706_v-stasis-dermatitis-85.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001535_t-eczema-hand-92.jpg,aug_001535_t-eczema-hand-92.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-neurotic-excoriations-21.jpg,t-neurotic-excoriations-21.jpg
